,순위,곡ID,곡명,가수,앨범,좋아요,가사
0,1,37138469,나는 아픈 건 딱 질색이니까,(여자)아이들,2,"89,083",오늘도 아침엔 입에 빵을 물고 똑같이 하루를 시작하고 온종일 한 손엔 아이스 아메리카노 피곤해 죽겠네 지하철 속 이 장면 어제 꿈에서 봤나 아참 매일이지 지나치고 바쁜 이 삶에 그냥 흔한 날에 그 애를 보고 말야 평온했던 하늘이 무너지고 어둡던 눈앞이 붉어지며 뭔가 잊고 온 게 있는 것 같아 괜히 이상하게 막 울 것만 같고 그냥 지나치는 게 나을 것 같아 나는 생각은 딱 질색이니까 카페인으로 잡은 정신은 빠졌고 하루 종일 신경 쓰여 토할 것 같아 저녁이 돼도 배고픔까지 까먹고 그치 이상하지 근데 말야 있잖아 처음 본 순간 뭐라 할까 그립달까 나도 웃긴데 말야 평온했던 하늘이 무너지고 어둡던 눈앞이 붉어지며 뭔가 잊고 온 게 있는 것 같아 괜히 이상하게 막 울 것만 같고 그냥 지나치는 게 나을 것 같아 나는 생각은 딱 질색이니까 오랫동안 나를 아는 슬픈 표정을 하고 Oh 흔적 없는 기억 밖 혹 과거에 미래에 딴 차원에 세계에 1 2 3 4 5 6 7 8 평온했던 하늘이 무너지고 어둡던 눈앞이 붉어져도 다시 놓쳐버리는 것만 같아 괜히 이상하게 막 울 것만 같고 그냥 지나치는 게 나을 것 같아 나는 생각은 딱 질색이니까 아냐 지나치는 게 나을 것 같아 나는 아픈 건 딱 질색이니까
1,2,37140709,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’,"98,658","Ay ay ay ay ay 거울 속에 내 표정 봐 봐 느낌 So good 기다려온 D-day 연습했던 손든 인사도 그대로 하면 돼 Hairstyle check하고 한 번 Turn around 발걸음은 매일 걷던 그 길로 계획은 완벽 빨리 말 걸어보고 싶어, Hey Woo 문 앞에서 셋을 세어본다, Yeh (셋, 둘, 하나) 첫 만남은 너무 어려워 계획대로 되는 게 없어서 첫 만남은 너무 어려워 내 이름은 말야 Hey, 안녕, 첫 마디를 건넬 때 주변 소린 Canceled 네 말소리는 Playlist Yeh, 질문은 나의 용기, 알려줘 너의 “이름이 뭐야?” 너와 내 거리는 세 걸음 남았어, Yeh (셋, 둘, 하나) 첫 만남은 너무 어려워 계획대로 되는 게 없어서 첫 만남은 너무 어려워 내 이름은 말야 이 순간, Feels so wonderful 조금은 뚝딱거려도 어색한 인사까지도 너와 나의 첫 만남 우리의 사이 Beautiful 내일도 내일모레도 기억해, 영원히 반짝일 순간 Wait wait! Na na na- 이렇게 만나서 반가워 내일 또 봐 안녕"
2,3,37194943,밤양갱,비비 (BIBI),밤양갱,"122,074",떠나는 길에 니가 내게 말했지 ‘너는 바라는 게 너무나 많아 잠깐이라도 널 안 바라보면 머리에 불이 나버린다니까’ 나는 흐르려는 눈물을 참고 하려던 얘길 어렵게 누르고 ‘그래 미안해’라는 한 마디로 너랑 나눈 날들 마무리했었지 달디달고 달디달고 달디단 밤양갱 밤양갱 내가 먹고 싶었던 건 달디단 밤양갱 밤양갱이야 떠나는 길에 니가 내게 말했지 ‘너는 바라는 게 너무나 많아’ 아냐 내가 늘 바란 건 하나야 한 개뿐이야 달디단 밤양갱 달디달고 달디달고 달디단 밤양갱 밤양갱 내가 먹고 싶었던 건 달디단 밤양갱 밤양갱이야 상다리가 부러지고 둘이서 먹다 하나가 쓰러져버려도 나라는 사람을 몰랐던 넌 떠나가다가 돌아서서 말했지 ‘너는 바라는 게 너무나 많아’ 아냐 내가 늘 바란 건 하나야 한 개뿐이야 달디단 밤양갱
3,4,37225604,EASY,LE SSERAFIM (르세라핌),EASY,"60,757","다친대도 길을 걸어 kiss me 쉽지 않음 내가 쉽게 easy Stage 위엔 불이 튀어, 내 body Pull up and I rip it up like ballet Damn, I really make it look easy Yuh know that I make it look easy Clap your hands, 너도 나와 같다면 clap your hands now 의구심 따윈 그냥 치워, 그냥 말해 “I’m the real one” 조명 꺼진 뒤의 난 wander in the night Don’t know what is right, don’t know ‘bout my rights 시기심, 의심, 불신, 이젠 friends of me, yuh 세상에게 난 반쪽짜리 seraphim, yuh Uhm I’ve been tryin’ so long to show you show you show you I’m the one that you need 다친대도 길을 걸어 kiss me 쉽지 않음 내가 쉽게 easy Stage 위엔 불이 튀어, 내 body Pull up and I rip it up like ballet Damn, I really make it look easy Yuh know that I make it look easy Yah know that I make it look easy 수면 위의 백조가 돼 whippin’ 때론 풀려, 나의 다리 but I keep it Get, set, go, come and see me, I’m the FEARLESS 나의 발걸음은 매 순간 history, 이건 my way 영웅처럼 걸어 even if I am not flawless 편하게만 왔다고? 날 몰라봤다면 you have to know Uhm I’ve been tryin’ so long to show you show you show you I’m the one that you need 다친대도 길을 걸어 kiss me 쉽지 않음 내가 쉽게 easy Stage 위엔 불이 튀어, 내 body Pull up and I rip it up like ballet Damn, I really make it look easy Yuh know that I make it look easy"
4,5,37145732,Love wins all,아이유,The Winning,"150,367","Dearest, Darling, My universe 날 데려가 줄래? 나의 이 가난한 상상력으론 떠올릴 수 없는 곳으로 저기 멀리 from Earth to Mars 꼭 같이 가줄래? 그곳이 어디든, 오랜 외로움 그 반대말을 찾아서 어떤 실수로 이토록 우리는 함께일까 세상에게서 도망쳐 Run on 나와 저 끝까지 가줘 My lover 나쁜 결말일까 길 잃은 우리 둘 um 부서지도록 나를 꼭 안아 더 사랑히 내게 입 맞춰 Lover Love is all Love is all Love Love Love Love 결국, 그럼에도, 어째서 우리는 서로일까 세상에게서 도망쳐 Run on 나와 저 끝까지 가줘 My lover 나쁜 결말일까 길 잃은 우리 둘 um 찬찬히 너를 두 눈에 담아 한 번 더 편안히 웃어주렴 유영하듯 떠오른 그날 그 밤처럼, 나와 함께 겁 없이 저물어줄래? 산산히 나를 더 망쳐 Ruiner 너와 슬퍼지고 싶어 My lover 필연에게서 도망쳐 Run on 나와 저 끝까지 가줘 My lover 일부러 나란히 길 잃은 우리 두 사람 부서지도록 나를 꼭 안아 더 사랑히 내게 입 맞춰 Lover Our Love wins all Love wins all Love Love Love Love"
5,6,37228861,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),"31,257",아니길 바랬었어 꿈이길 기도했지 너 없는 가슴으로 살아가야 하는 건 내게는 너무 힘겨운걸 그렇게 사랑했던 너무도 소중했던 지난날이 서러워 자꾸 눈물이 흘러 내 삶은 너뿐인데 사랑해 널 잊을 순 없을 거야 미안해 너를 지키지 못한 것을 너의 행복한 모습 나 보기를 원해 부디 새롭게 시작하길 바래 하늘이 우리를 갈라 놓지만 눈물로 너를 보내려고 하지만 너를 얼마나 내가 사랑했는 줄 아니 영원히 너를 지켜보며 살 거야 행복하길 바래 그렇게 사랑했던 너무도 소중했던 지난날이 서러워 자꾸 눈물이 흘러 내 삶은 너뿐인데 사랑해 널 잊을 순 없을 거야 미안해 너를 지키지 못한 것을 너의 행복한 모습 나 보기를 원해 부디 새롭게 시작하길 바래 하늘이 우리를 갈라 놓지만 눈물로 너를 보내려고 하지만 너를 얼마나 내가 사랑했는 줄 아니 영원히 너를 지켜보며 살 거야 행복하길 바래 널 사랑해 미안해 너를 지키지 못한 것을 너의 행복한 모습 나 보기를 원해 부디 새롭게 시작하길 바래 행복하길 바래
6,7,37225606,Smart,LE SSERAFIM (르세라핌),EASY,"30,738","I’m a smarter baby, smarter Smarter baby, smarter 하날 보면 열까지 간파해서 돌파하지 Wanna be a winner Wanna be a winner 계획대로 돼가지 난 나비가 될 애송이 원하는 건 승리란 놈 I call it “sugar” Plan대로라면 놓칠 리가 없지 내 sugar, sugar 누군 말해, 내가 mean-mean-mean-mean-mean 신경 안 써 쉿 쉿 쉿 쉿 쉿 내 패배 위에 필 아름다움 대신 더 강한 이름 ""villain""을 택했지 So 그게 바로 me-me-me-me-me 내겐 보여, see-see-see-see-see 르세라핌 날 이끌어 to victory I’m a smarter baby, smarter Smarter baby, smarter 하날 보면 열까지 간파해서 돌파하지 Wanna be a winner Wanna be a winner 계획대로 돼가지 난 나비가 될 애송이 I’m a smarter baby Work hard in secret 아귀가 착착 맞게 I planned that, don’t be mad Plan대로라면 난 될 수가 없지 그 loser, loser 누군 말해, 내가 mean-mean-mean-mean-mean 신경 안 써 쉿 쉿 쉿 쉿 쉿 내 패배 위에 필 아름다움 대신 더 강한 이름 ""villain""을 택했지 So I just wanna be me-me-me-me 내겐 보여, see-see-see-see-see 르세라핌 날 이끌어 to victory I’m a smarter baby, smarter Smarter baby, smarter 하날 보면 열까지 간파해서 돌파하지 Wanna be a winner Wanna be a winner 계획대로 돼가지 난 나비가 될 애송이 I’m a smarter baby 내 시계는 tick-tock 필요했던 shortcut 찾아내고 난 잡았지, huh 누구는 말해, “that’s all luck” 난 말해, “no, it’s not luck"" 내 땀은 not lying, lying Don’t slow down, 이 삶은 superfast Best scheme, 내 머릿속에 갓생, 난 준비를 끝냈어 Dinner of the winner, That is what I want to get I’m a smarter baby, smarter Smarter baby, smarter 하날 보면 열까지 간파해서 돌파하지 Wanna be a winner Wanna be a winner 계획대로 돼가지 난 나비가 될 애송이 I’m a smarter baby"
7,8,37222942,홀씨,아이유,The Winning,"45,393","내가 누울 자린 아마도 한참 더 위로 아니 적당히 미끈한 곳에 뿌리내리긴 싫어 내 뒤로 착착 따라붙어 다 예쁘게 줄지어 난 기어코 하늘에 필래 음, What a tiny leader 아슬아슬히 나는 홀씨 하나 또 다른 길을 향해서 Fly high to bloom 혹시 나의 안부를 묻는 누군가 있거든 전해줘 걔는 홀씨가 됐다구 날 따라, gonna go to win 날 따라, 날아가 꼭대기루 You say '후‘ I may fly You say '후‘ Then i fly 날 따라, Even without wings 날 따라, 떠올라 공중으루 You say '후‘ I may fly You say '후' Then i fly 다 날 볼 수 있게 날아 줄게 한가운데 시력을 위해 꼭 지참해 니 sunglass 올려보면 눈부셔 고소공포 하나도 안 무셔 따가운 태양과 무지 가까운 거리 까지 올라가 난 무심히 내려보리 구름을 골라타 간만에 한바탕 싹 어질러볼까 빙글빙그르 나는 홀씨 하나 가파른 바람을 타고 Fly high to bloom 혹시 나의 안부를 묻는 누군가 있거든 전해줘 걔는 홀씨가 됐다구 날 따라, gonna go to win 날 따라, 날아가 꼭대기루 You say '후‘ I may fly You say '후‘ Then i fly 날 따라, Even without wings 날 따라, 떠올라 공중으루 You say '후‘ I may fly You say '후' Then i fly 앞길이 만만치 않아도 엄살은 뒤로 내 선택이야 늘 그랬듯이 쉬울 확률은 zero 남은 거 탈탈 털어줄게 모두 행운을 빌어 구태여 인사하고 갈래 May god be with ya See ya"
8,9,37248283,WAY 4 LUV,PLAVE,ASTERUM : 134-1,"35,001","Way 4 Luv Way 4 your Luv Way 4 Luv Way 4 your Luv 거짓말이라도 믿을게 영화 같은 스토리의 끝에 It’s like a movie 우린 참 어렸었지 저 별들을 닮기엔 모든 게 서툴렀지 Oh yeah 뜨거웠던 숨은 꿈이 되어 내 심장에 불을 지폈어 날 멈출 수 없도록 더욱 떨어져가는 폭포 처럼 내 몸을 던졌어 그 속에 피어난 Flo(wer) 어느새 노을이 지고 있어 그곳으로 Moonlight 끝이 없는 Midnight Sunshine 반복되는 Highlight Woo woo woo woo woo woo woo (Woo woo woo woo woo woo woo) Woo woo woo woo woo woo woo (Woo woo woo woo woo woo woo) Way 4 Luv Way 4 your Luv Way 4 Luv Way 4 your Luv 거짓말이라도 믿을게 영화 같은 스토리의 끝에 Way 4 Luv uh Way 4 your Luv 사계절이 되어줘 My Venus 거짓말이라도 믿을래 황홀한 이 여정의 끝에 쏟아지는 유성 아래 형 형색의 Rainbow 지나치게 아름다워 A to T, I’m driving now There’s no rush hour Let’s go Eiffel Tower Imagine we smile at the same time Moonlight 끝이 없는 Midnight Sunshine 반복되는 Highlight Woo woo woo woo woo woo woo (Woo woo woo woo woo woo woo) Woo woo woo woo woo woo woo (Woo woo woo woo woo woo woo) Way 4 Luv Way 4 your Luv Way 4 Luv Way 4 your Luv 거짓말이라도 믿을게 영화 같은 스토리의 끝에 같은 시선 속에 맞닿은 우리야 너와 날 닮은 이 순간 끝나지 않을 여행이라 It’s a beautiful life Way 4 Luv oh Way 4 Luv 거짓말이라도 믿을게 영화 같은 스토리의 끝에 Way 4 Luv uh Way 4 your Luv 사계절이 되어줘 My Venus 거짓말이라도 믿을래 황홀한 이 여정의 끝에 Woo woo woo woo woo woo Woo woo woo woo woo woo woo Woo woo woo woo"
9,10,37098744,Love 119,RIIZE,Love 119,"90,345",1 2 Let’s go 뺏긴 My heart that girl’s a killer Love so good feels like a thriller 시작됐지 이건 Emergency (Vroom) 1-1-9 1-1-9 Save my life save my life She sets me free 이건 Emergency (Love) 너는 마치 Flashlight 자꾸만 시선을 뺏겨 많은 사람 속에서 순간 너만 보였어 다들 말하지 Love is so sweet 아직 난 뭔지 모르겠지 Right now 처음 느낀 이상한 떨림 이건 진심 I’m not kidding 친구이기엔 더 Deeper deeper deeper 어쩌면 Love song yah 뺏긴 My heart that girl’s a killer Love so good feels like a thriller 시작됐지 이건 Emergency (Vroom) 1-1-9 1-1-9 Save my life save my life She sets me free 이건 Emergency (Love) 이상해 나 What do I do 너에 관한 건 뭐라도 신경 쓰여 난 All day 넌 만들어 My day 이 감정은 Someday 난 알고 싶어 귓가에 울린 Love is so sweet 멈출 수 없이 빠져버린 나야 네가 자꾸 궁금해 왜지 말도 안 돼 I’m not kidding 시간이 갈수록 깊어 깊어 깊어져 가는 나잖아 뺏긴 My heart that girl’s a killer Love so good feels like a thriller 시작됐지 이건 Emergency (Vroom) 1-1-9 1-1-9 Save my life save my life She sets me free 이건 Emergency (Love) 이건 뭘까 You know what I’m talking about 왜 이렇게 나의 맘이 어지러운 걸까 이 모든 게 내가 널 좋아하는 건가 난 그럼 더 이상 끌고 싶지 않아 다른 건 Nothing but I want it all with you 뺏긴 My heart that girl’s a killer Love so good feels like a thriller 시작됐지 이건 Emergency (Vroom) 1-1-9 1-1-9 Save my life save my life She sets me free 이건 Emergency (Love)
